ordem,fase,item,descricao,dependencia,criterio_de_conclusao,status_atual
1,Preparacao documental,Validar documentos-base,"Confirmar que blueprint, documento-base e checklist estao alinhados com shell, sidebar, grid e regras sem conteudo ficticio","Nenhuma","Os 3 documentos descrevem a mesma estrutura e o mesmo objetivo","Concluido"
2,Preparacao do arquivo,Criar paginas do arquivo Figma,"Criar 00 Cover, 01 Foundations, 02 Components e 03 Templates","Arquivo Figma disponivel","As 4 paginas existem com a nomenclatura definida","Pendente"
3,Preparacao do arquivo,Criar frame principal,"Criar o frame Dashboard / Desospitalizacao / Default em 1280 x 720","Paginas criadas","O frame principal existe na pagina 03 Templates","Pendente"
4,Foundations,Registrar Colors,"Criar os color styles definidos no blueprint","Frame e pagina Foundations criados","Todos os tokens de cor existem e podem ser reaproveitados","Pendente"
5,Foundations,Registrar Typography,"Criar os text styles definidos no blueprint","Pagina Foundations criada","Todos os estilos tipograficos minimos existem","Pendente"
6,Foundations,Registrar Spacing,"Registrar tokens 4, 8, 10, 12, 16 e 24","Pagina Foundations criada","A base de espacamento esta documentada e pronta para uso","Pendente"
7,Foundations,Registrar Radii,"Registrar Radius 8, 12 e Pill","Pagina Foundations criada","Os raios minimos existem e estao nomeados","Pendente"
8,Foundations,Registrar Strokes,"Registrar Stroke / Subtle e Stroke / Strong","Pagina Foundations criada","Os strokes minimos existem e estao nomeados","Pendente"
9,Foundations,Registrar Effects,"Registrar Shadow / Card / Soft","Pagina Foundations criada","O unico efeito estrutural esta criado","Pendente"
10,Shell,Criar Shell / App,"Criar a estrutura base horizontal do app","Foundations minimas criadas","O shell suporta sidebar fixa e content area expansivel","Pendente"
11,Shell,Criar Sidebar / Institutional,"Criar a sidebar institucional estrutural","Shell / App criado","A sidebar existe com layout vertical e comportamento reutilizavel","Pendente"
12,Shell,Configurar sidebar fixa,"Definir largura fixa de 232 px e estilo neutro","Sidebar criada","A sidebar nao expande horizontalmente","Pendente"
13,Shell,Configurar Main / Content,"Aplicar auto layout vertical, padding 16 e gap 10","Shell criado","Main / Content ocupa o restante do frame e respeita o blueprint","Pendente"
14,Shell,Aplicar grid,"Aplicar grid de 12 colunas no content area com margem 16 e gutter 10","Main / Content criado","O grid esta no content area e nao no frame inteiro","Pendente"
15,Header,Criar Header / Institutional / Badge,"Montar o header com titulo, subtitulo e badge estrutural","Shell e foundations prontos","O header esta componentizado e alinhado ao blueprint","Pendente"
16,KPIs,Criar KPI / Card / Default,"Montar a base do card de KPI","Foundations, shell e header prontos","O card base existe com estrutura reutilizavel","Pendente"
17,KPIs,Publicar variants de KPI,"Criar Default, Positive, Warning e Critical","KPI / Card / Default criado","O component set de KPI esta pronto","Pendente"
18,KPIs,Montar KPI / Row / 4-up,"Criar a linha com 4 cards em Fill container","Variants de KPI prontas","Os 4 cards escalam sem quebrar o grid","Pendente"
19,Paineis,Criar Panel / Journey / Default,"Montar o painel esquerdo estrutural","Shell, grid e foundations prontos","O painel Journey existe como componente","Pendente"
20,Paineis,Criar Chart / BarRow / Default,"Criar a linha estrutural de barra da jornada","Panel / Journey definido","O subcomponente de barra existe e pode ser repetido","Pendente"
21,Paineis,Criar Metric / SupportCard / Default,"Criar microcard estrutural lateral","Panel / Journey definido","O support card existe como componente","Pendente"
22,Paineis,Criar Panel / Trend / Default,"Montar o painel direito estrutural","Shell, grid e foundations prontos","O painel Trend existe como componente","Pendente"
23,Paineis,Criar Chart / Line / MultiSeries,"Criar a area estrutural de serie temporal","Panel / Trend definido","O chart estrutural existe sem dados","Pendente"
24,Paineis,Criar Metric / RiskNote / Default,"Criar nota estrutural de risco","Panel / Trend definido","O risk note existe como componente","Pendente"
25,Paineis,Montar row principal,"Distribuir Journey em 7 colunas e Trend em 5 colunas","Paineis e subcomponentes prontos","A linha principal respeita o grid 7/5","Pendente"
26,Tabela,Criar Panel / Table / Default,"Montar o painel base da tabela","Shell, grid e foundations prontos","O painel de tabela existe como componente","Pendente"
27,Tabela,Criar Table / Header / Default,"Montar o cabecalho com colunas estruturais","Panel / Table definido","O cabecalho existe com proporcoes consistentes","Pendente"
28,Tabela,Criar Table / Row / PatientPriority,"Montar a linha estrutural da tabela","Table / Header criado","A row existe sem conteudo real","Pendente"
29,Tabela,Criar Badge / Risk,"Criar component set de badge estrutural","Foundations prontas","Os badges Low, Medium e High existem como variantes","Pendente"
30,Tabela,Criar Divider / Soft,"Criar divisor estrutural reutilizavel","Foundations prontas","O divisor existe e esta nomeado","Pendente"
31,Tabela,Inserir tabela no frame principal,"Adicionar o painel de tabela ao layout final","Tabela e row criadas","O frame Default esta estruturalmente completo","Pendente"
32,Clean,Duplicar frame final,"Duplicar Dashboard / Desospitalizacao / Default","Frame Default completo","A copia Dashboard / Desospitalizacao / Clean existe","Pendente"
33,Clean,Limpar anotacoes auxiliares,"Remover notas, guias e indicacoes temporarias","Frame Clean criado","O frame Clean tem apenas estrutura reutilizavel","Pendente"
34,Validacao final,Validar ausencia de conteudo ficticio,"Conferir pacientes, unidades, datas, KPI numerico e series mensais","Frame Default e Clean criados","Nao ha conteudo ficticio nem placeholders indevidos","Pendente"
